489,485,34,52
494,487,35,52
479,473,37,54
472,470,34,51
490,483,32,49
499,493,43,59
492,486,39,56
483,481,38,55
492,483,33,49
498,482,38,51
480,471,34,50
490,481,36,54
497,488,30,46
457,453,41,57
493,486,39,55
488,482,40,57
495,491,36,53
492,480,36,49
483,475,34,51
474,467,35,51
466,460,35,52
515,494,56,63
485,480,41,57
489,480,37,54
474,472,32,48
476,466,39,54
491,485,32,49
474,469,32,49
496,490,39,55
513,499,41,58
484,481,37,53
500,497,42,58
498,489,40,55
455,441,41,53
493,489,39,56
498,492,35,52
501,492,36,52
494,489,45,62
524,514,43,60
515,504,44,59
482,476,47,64
479,474,36,52
496,485,37,52
470,461,33,49
483,478,38,54
482,477,37,53
454,443,31,47
482,476,31,47
482,471,40,55
466,463,33,49
483,480,37,53
510,501,34,51
464,457,39,56
487,481,44,60
496,486,32,49
478,469,35,51
486,479,40,55
476,469,28,45
495,482,37,51
488,481,32,48
477,472,39,56
475,469,39,55
517,512,41,58
474,463,46,62
476,463,45,61
505,496,40,56
507,496,34,50
500,493,32,47
486,484,42,59
474,458,46,55
507,502,32,48
467,459,42,58
502,493,36,52
481,461,62,69
494,482,50,63
508,504,38,54
494,486,56,73
497,478,38,51
461,451,34,49
521,514,37,52
492,483,41,57
507,499,70,87
502,496,42,60
483,474,40,56
486,478,35,52
485,476,40,55
496,487,32,49
481,475,40,57
491,486,35,52
498,491,43,60
507,497,43,57
453,449,34,51
520,509,41,58
478,468,35,52
502,497,41,57
516,505,42,57
485,478,36,53
497,493,31,48
490,488,36,52
501,497,40,57
